Date Created,Dataset,Target Variable,Task,link,Checked
1988-07-01,iris,variety,classification,,Good
1995-12-01,abalone,Class_number_of_rings,regression,,Good
27 April 1987,mushrooms,class,classification,,Good
unknown,drug200,Drug,classification,,good
unknown,kag_risk_factors_cervical_cancer,Dx:Cancer,classification,https://www.kaggle.com/datasets/loveall/cervical-cancer-risk-classification,good
unknown,healthcare-dataset-stroke-data,stroke,classification,https://www.kaggle.com/datasets/fedesoriano/stroke-prediction-dataset,good
from 2020,csgo_round_snapshots,round_winner,classification,https://www.kaggle.com/datasets/christianlillelund/csgo-round-winner-classification,Good?
Fall 2015,Transformed Data Set - Sheet1,Gender,classification,https://www.kaggle.com/datasets/hb20007/gender-classification,good
unknown,diabetes,Outcome,classification,https://www.kaggle.com/code/amolbhivarkar/knn-for-classification-using-scikit-learn/data,good
unknown,housingprices,SalePrice,regression,https://www.kaggle.com/competitions/house-prices-advanced-regression-techniques/data?select=train.csv,
unknown,insurance,charges,regression,https://www.kaggle.com/datasets/mirichoi0218/insurance,
2009,winequality-red,quality,regression,https://www.kaggle.com/datasets/uciml/red-wine-quality-cortez-et-al-2009,
unknown,framingham_heart_disease,TenYearCHD,regression,https://www.kaggle.com/datasets/naveengowda16/logistic-regression-heart-disease-prediction,
unknown,vw,price,regression,https://www.kaggle.com/datasets/adityadesai13/used-car-dataset-ford-and-mercedes?select=vw.csv,
unknown,Student_Marks,Marks,regression,https://www.kaggle.com/datasets/yasserh/student-marks-dataset,
unknown,GOOG,close,regression,https://www.kaggle.com/datasets/shreenidhihipparagi/google-stock-prediction,
unknown,Salary_Data,Salary,regression,https://www.kaggle.com/datasets/karthickveerakumar/salary-data-simple-linear-regression,
unkown,forestfires,area,regression,https://www.kaggle.com/datasets/elikplim/forest-fires-data-set,
1990-05-15,zoo,Type,classification,https://archive.ics.uci.edu/ml/datasets/Zoo,
1996-09-01,yeast,Type,classification,,
2017-12-04,wifi_localization,Type,classification,,
2021-04-29,HRDataset_v14,Salary,regression,https://www.kaggle.com/datasets/rhuebner/human-resources-data-set?select=HRDataset_v14.csv,
2014-03-13,wilt,class,classification,,
2010,possum,hdlngth,regression,https://www.kaggle.com/datasets/abrambeyer/openintro-possum,
2014-03-27,Urban,class,classification,,
2013-09-01,turkiye-student-evaluation_generic,class,classification,,
unkown,Fish,Height,regression,https://www.kaggle.com/datasets/aungpyaeap/fish-market,
1997-06-07,tae,class,classification,,
unknown,student-por,G3,regression,,
2012-07-17,Skin_NonSkin,class,classification,,
2019,pyramid_scheme,profit,regression,https://www.kaggle.com/datasets/pulkit21aug/pyramid-scheme-profit-or-loss,
1993-07-07,auto-mpg,mpg,regression,https://www.kaggle.com/datasets/yasserh/auto-mpg-dataset,
2020-03-10,Shill,Class,classification,,
,sepsis,hospital_outcome,classification,,
unknown,beauty,wage,regression,https://www.kaggle.com/datasets/aungpyaeap/beauty,
1993-06-01,post-operative,Class,classification,,
2007-01-01,poker,Class,classification,,
,trainingData,target,regression,,
,SkillCraft1_Dataset,target,regression,,
,sgemm_product,target,regression,,
,servo,target,regression,,
,Real estate valuation data set,target,regression,,
,CASP,target,regression,,
,parkinsons_updrs,target,regression,,
,slump_test,target,regression,,
,Concrete_Data,target,regression,,
,machine,target,regression,,
,communities,target,regression,,
,Foldspp,target,regression,,
,day,target,regression,,
,Tetuan City power consumption,target,regression,,
,anneal,target,classification,,
,arrhythmia,target,classification,,
,bands,target,classification,,
,breast-cancer,target,classification,,
,bridges,target,classification,,
,crx,target,classification,,
,dermatology,target,classification,,
,Dry_Bean_Dataset,target,classification,,
,glass,target,classification,,
,house-votes-84,target,classification,,
,kohkiloyeh,target,classification,,
,transfusion,target,classification,,
unkown,tips,tip,regression,,
,cars,priceUSD,regression,,
,atp1d,aOTHERavgp4l2,regression,,
,Villaprice,price,regression,,
,IceCreamData,Revenue,regression,,
,bodyfat,BodyFat,regression,,
,oxygen,target,regression,,
,Pizza-Price,Price,regression,,
,SynchronousMachine,I_f,regression,,
,company,Sales,regression,,
,GoldUP,Gold_Price,regression,,
,Cricket_chirps,Y,regression,,
,Engineering_graduate_salary,Salary,regression,,
