,Data Name,Column Row Ratio,File Size,File Type,Uniqueness Score,Accuracy Score (Numerical),Accuracy Score (Categorical),Coverage Score,Conformity Score,Timeliness Score
iris,iris,0.03333333333333333,3975,.csv,0.9933333333333333,0.9933333333333333,1.0,0.0,0.0,1
abalone,abalone,0.0021546564519990424,196156,.csv,1.0,0.9834211156332295,0.855366492146597,0.12368754061356406,0.0,1
mushrooms,mushrooms,0.002831117676021664,374003,.csv,1.0,0.0,0.001094091903719896,0.7253815854258986,0.0,1
drug200,drug200,0.03,6029,.csv,1.0,0.98,0.2962962962962963,0.2525438596491228,0.0,1
kag_risk_factors_cervical_cancer,kag_risk_factors_cervical_cancer,0.04195804195804196,102059,.csv,0.9731934731934732,0.098951048951049,0.0026631158455392434,0.8645325577289634,0.0,1
healthcare-dataset-stroke-data,healthcare-dataset-stroke-data,0.0023483365949119373,316971,.csv,1.0,0.5538999161308359,0.00025050100200396663,0.4512720156555773,0.0,1
csgo_round_snapshots,csgo_round_snapshots,0.000792418920022874,50410839,.csv,0.9594640960705825,0.30987733932181183,0.006548049132947931,0.38821174740625763,0.0,1
Transformed Data Set - Sheet1,Transformed Data Set - Sheet1,0.07575757575757576,2418,.csv,0.9393939393939394,0.0,0.05263157894736836,0.23484848484848486,0.0,1
diabetes,diabetes,0.01171875,23873,.csv,1.0,0.9788773148148148,0.0,0.4815262294433903,0.0,1
housingprices,housingprices,0.05547945205479452,460676,.csv,1.0,0.7488284066330209,0.0001400560224089631,0.9405251141552512,1643.0,1
insurance,insurance,0.00523168908819133,55628,.csv,0.9992526158445441,0.968796711509716,0.8901098901098902,0.29486690201316673,0.0,1
winequality-red,winequality-red,0.0075046904315197,100951,.csv,0.849906191369606,0.968313529289139,0.0,0.25922451532207635,0.0,1
framingham_heart_disease,framingham_heart_disease,0.0037753657385559227,195955,.csv,1.0,0.8093440302029259,0.0,0.49378637722196,0.0,1
vw,vw,0.000593785049811968,788132,.csv,0.9825823052055156,0.985991071232214,0.00041126876413732916,0.43848793522009516,0.0,1
Student_Marks,Student_Marks,0.03,1615,.csv,1.0,1.0,0.0,0.06,0.0,1
GOOG,GOOG,0.011128775834658187,146541,.csv,1.0,0.7757021727609963,1.0,0.0,0.0,1
Salary_Data,Salary_Data,0.06666666666666667,454,.csv,1.0,1.0,0.0,0.0,0.0,1
forestfires,forestfires,0.025145067698259187,25478,.csv,0.9922630560928434,0.8665377176015474,0.0036231884057971175,0.2723597678916828,0.0,1
zoo,zoo,0.1782178217821782,4335,.csv,1.0,0.5870704717530577,0.16666666666666663,0.42069306930693073,0.0,1
yeast,yeast,0.006738544474393531,76341,.csv,0.9851752021563343,0.7117587601078167,0.010799136069114423,0.21198446908381607,0.0,1
wifi_localization,wifi_localization,0.004,62046,.csv,1.0,0.99125,0.0,0.08403846153846153,0.0,1
HRDataset_v14,HRDataset_v14,0.1157556270096463,76857,.csv,1.0,0.6882815291175419,0.0006082725060827521,0.8517455213596693,104.0,1
wilt,wilt,0.0013828070984097719,249070,.csv,0.9967734501037105,0.9565798571099332,1.0,5.551115123125783e-17,0.0,1
possum,possum,0.1346153846153846,5484,.csv,1.0,0.9847756410256411,0.7049180327868851,0.17445054945054944,0.0,1
Urban,Urban,0.29191321499013806,412022,.csv,1.0,0.9795515839471883,0.2359550561797753,0.08341247230136119,0.0,1
turkiye-student-evaluation_generic,turkiye-student-evaluation_generic,0.005670103092783505,391900,.csv,0.6833333333333333,0.9326096011663022,0.0,0.5100845889505683,0.0,1
Fish,Fish,0.0440251572327044,6022,.csv,1.0,0.989517819706499,0.09795918367346934,0.19227313566936208,0.0,1
tae,tae,0.039735099337748346,2299,.csv,0.7284768211920529,0.6655629139072847,0.0,0.34741721854304636,0.0,1
student-por,student-por,0.05084745762711865,93220,.csv,1.0,0.9120762711864407,0.09010989010989012,0.5950500770416025,0.0,1
Skin_NonSkin,Skin_NonSkin,1.632273307842665e-05,3400841,.csv,0.20992667012164512,0.75,0.0,0.2924594934800883,0.0,1
pyramid_scheme,pyramid_scheme,0.012,13841,.csv,1.0,0.6666666666666667,0.0,0.036000000000000004,0.0,1
auto-mpg,auto-mpg,0.022613065326633167,18131,.csv,1.0,0.9960516870064609,0.014705882352941124,0.31256281407035175,0.0,1
Shill,Shill,0.0020566366081316246,535719,.csv,1.0,0.8193851183884406,0.008928571428571397,0.3932130991931656,0.0,1
sepsis,sepsis,3.629632318246162e-05,1096124,.csv,0.013710936082174885,0.48757304635040466,0.0,0.5694627353556015,0.0,1
beauty,beauty,0.007936507936507936,32388,.csv,0.9976190476190476,0.754920634920635,0.0,0.43333333333333335,0.0,1
post-operative,post-operative,0.1,4519,.csv,0.8888888888888888,0.0,0.01538461538461533,0.588888888888889,0.0,1
poker,poker,0.00043982407037185126,613760,.csv,0.9999200319872051,0.9974119443131838,0.0,0.3995140405376311,0.0,1
trainingData,trainingData,0.0038564642806753514,17629045,.csv,0.996707896345765,0.9605022121330652,0.0,0.28363438596237356,0.0,1
SkillCraft1_Dataset,SkillCraft1_Dataset,0.005891016200294551,448603,.csv,1.0,0.9619682924716279,0.0015243902439023849,0.1428816887579774,0.0,1
sgemm_product,sgemm_product,6.208609271523179e-05,10005733,.csv,1.0,0.9753865894039735,0.0,0.20379690949227372,0.0,1
servo,servo,0.029940119760479042,3214,.csv,1.0,0.9401197604790419,0.738095238095238,0.14281437125748503,0.0,1
Real estate valuation data set,Real estate valuation data set,0.01932367149758454,21948,.csv,1.0,0.97493961352657,0.0,0.07092665788317962,0.0,1
CASP,CASP,0.00021867483052700635,3541767,.csv,0.9625847364968292,0.979158101902471,0.0,0.011653059876503228,0.0,1
parkinsons_updrs,parkinsons_updrs,0.00374468085106383,906873,.csv,1.0,0.9619961315280464,0.0,0.1821925025329281,0.0,1
slump_test,slump_test,0.10679611650485436,4730,.csv,1.0,0.9867608120035305,0.0,0.0,0.0,1
Concrete_Data,Concrete_Data,0.008737864077669903,58935,.csv,0.9757281553398058,0.9903991370010787,0.0,0.3411927877947295,0.0,1
machine,machine,0.0430622009569378,8306,.csv,1.0,0.9316473000683527,0.008928571428571397,0.3830940988835726,0.0,1
communities,communities,0.0641925777331996,1103600,.csv,1.0,0.9361860090074144,0.0005970149253731183,0.8271540059217095,0.0,1
Foldspp,Foldspp,0.0005225752508361204,318267,.csv,0.9957148829431438,0.9979096989966555,0.0,0.0,0.0,1
day,day,0.02188782489740082,56809,.csv,1.0,0.927952576379389,1.0,0.47127222982216144,0.0,1
Tetuan City power consumption,Tetuan City power consumption,0.00011446886446886447,2167289,.csv,1.0,0.9767246642246642,0.0,0.0,0.0,1
anneal,anneal,0.04887218045112782,71596,.csv,0.9899749373433584,0.3834586466165414,0.0012674271229404788,0.8147869674185464,0.0,1
arrhythmia,arrhythmia,0.6194690265486725,369768,.csv,1.0,0.48247787610619386,0.023809523809523836,0.8690265486725663,0.0,1
bands,bands,0.07393715341959335,104010,.csv,1.0,1.0,0.0006734006734007147,0.7241089940470752,40.0,1
breast-cancer,breast-cancer,0.03496503496503497,19158,.csv,0.951048951048951,1.0,0.003896103896103842,0.594905094905095,0.0,1
bridges,bridges,0.12037037037037036,6307,.csv,1.0,0.9907407407407407,0.021126760563380254,0.4814814814814815,0.0,1
crx,crx,0.02318840579710145,30847,.csv,1.0,0.9007246376811594,0.003853564547206201,0.5724223602484473,0.0,1
dermatology,dermatology,0.09562841530054644,26533,.csv,1.0,0.4908389585342333,0.05882352941176472,0.6926229508196722,0.0,1
Dry_Bean_Dataset,Dry_Bean_Dataset,0.001248989787671736,2484759,.csv,0.995004040849313,0.9672186099478363,0.20601874691662558,0.11765802533414477,0.0,1
glass,glass,0.0514018691588785,10828,.csv,1.0,0.8500424808836023,0.0,0.18847352024922118,0.0,1
house-votes-84,house-votes-84,0.03908045977011494,18701,.csv,0.7862068965517242,0.0,0.23048327137546465,0.30574712643678154,0.0,1
kohkiloyeh,kohkiloyeh,0.06,3307,.csv,0.41000000000000003,0.0,0.17500000000000004,0.3533333333333333,0.0,1
transfusion,transfusion,0.0066844919786096255,11260,.csv,0.7125668449197862,0.7740641711229946,0.0,0.26148361442479096,0.0,1
tips,tips,0.028688524590163935,7943,.csv,0.9959016393442623,0.9644808743169399,0.14559386973180077,0.4726775956284154,0.0,1
cars,cars,0.0002133560913164071,5118581,.csv,0.998453168337956,0.9846472512623569,5.537558490464889e-05,0.6494903878411452,7196.0,1
atp1d,atp1d,1.2373887240356083,628818,.csv,1.0,0.7780956243906952,0.0,0.8592152983844379,0.0,1
Villaprice,Villaprice,0.0077628793225123505,80708,.csv,0.8870853916725476,0.4606563161609033,0.00019153418885275997,0.632792284168431,21.0,1
IceCreamData,IceCreamData,0.004,12385,.csv,1.0,0.993,0.0,0.0,0.0,1
bodyfat,bodyfat,0.05952380952380952,20001,.csv,1.0,0.9902116402116402,0.0,0.047852474323062555,0.0,1
oxygen,oxygen,0.25170068027210885,17996,.csv,1.0,0.9992645706931421,0.0,0.0,0.0,1
Pizza-Price,Pizza-Price,0.3,481,.csv,1.0,0.975,0.8181818181818181,0.19999999999999998,0.0,1
SynchronousMachine,SynchronousMachine,0.008976660682226212,14585,.csv,1.0,1.0,0.0,0.0,0.0,1
company,company,0.02,4060,.csv,1.0,0.9975,0.0,0.0,0.0,1
GoldUP,GoldUP,0.03347280334728033,14166,.csv,1.0,0.9748953974895398,1.0,0.004148791554119661,0.0,1
Cricket_chirps,Cricket_chirps,0.00133422281521014,10617,.csv,0.0873915943962642,0.9653102068045364,0.0,0.14549699799866578,0.0,1
Engineering_graduate_salary,Engineering_graduate_salary,0.01134089392928619,679982,.csv,1.0,0.7693894695228918,2.291580732394216e-05,0.9248234455154011,0.0,1
